,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,5.8276,-1.7006,0.5118,-2.1477,1.9583,1.2118,2.4107,0.6056,-2.6082,-0.4527,1.9071,2.4491,-0.4399,3.7289,-1.2629,1.5376,1.546,1.3389,0.2765,2.4678,3.3248,6.0909,2.0285,3.1263,0.5623
192608,-2.0206,-8.0282,1.3968,2.1483,8.5104,2.362,-0.7525,3.8984,0.2299,6.2937,-0.9386,2.3875,1.9916,4.3179,8.1142,1.3858,3.8587,1.9738,2.1336,5.3422,1.0169,4.1975,1.9769,5.4924,7.7576
192609,-4.8291,-2.6806,-4.3417,-3.2683,0.8586,-2.6849,-0.5252,1.0789,-3.2877,-0.9419,-0.3406,0.1689,-1.9453,2.6961,-3.6215,1.6897,-0.5246,-1.7724,1.4806,0.873,-1.2951,3.661,0.1384,-0.7497,-2.4284
192610,-9.3633,-3.5519,-3.5024,3.4413,-2.5452,-2.8014,-4.4191,-5.0767,-8.0271,-1.3213,-5.1925,-2.5577,0.4354,-2.1992,-3.1373,-3.9136,-2.6528,-2.1058,-3.2532,-5.3525,-2.7382,-3.0061,-2.2467,-4.6725,-5.8129
192611,5.5888,4.1877,2.4384,-4.4495,0.511,3.1023,-1.7317,3.0425,4.9538,2.7292,1.911,4.5488,0.479,4.9524,3.7374,3.4492,2.3823,3.7315,5.1102,1.8213,4.4331,2.5355,1.528,3.6596,2.5636
192612,14.9644,-1.4263,0.0084,3.3801,0.8589,3.1,4.149,0.8497,2.3043,5.2086,-1.3795,2.3967,-1.0803,3.0189,1.5349,3.4732,2.6093,1.7611,3.0222,0.1578,1.3564,3.479,1.979,6.2436,2.4024
192701,1.0954,-8.1352,-4.828,3.0498,2.021,3.0069,-4.2859,0.2068,-0.0539,11.057,-0.6381,-0.222,-0.6425,2.3344,2.5976,2.3758,1.4755,-0.5061,0.2309,7.3063,-0.7786,0.3288,-0.4352,0.5531,4.2141
192702,2.8672,-0.4922,8.5078,5.258,9.928,1.509,10.2367,7.87,3.6064,7.5867,6.1528,5.5348,4.3744,6.5732,13.3006,5.2958,4.2687,2.347,6.7817,11.4693,3.4579,5.1109,3.4245,5.1397,6.2731
192703,5.8224,-0.073,-5.8769,-3.9186,-3.5776,-2.4637,-2.841,-2.0166,-0.7001,-0.6648,-0.9634,-3.5707,-0.6787,-1.9557,-5.9028,-2.2015,0.1654,-1.3741,-1.3765,3.911,0.5893,2.0005,-0.1196,0.4786,-3.8449
192704,7.8274,4.788,4.3995,3.3905,6.4235,-2.9654,-4.1614,-0.3033,-0.4134,4.5992,-0.8524,1.4032,-0.504,2.0663,1.8717,-0.2726,1.8583,-1.1458,0.0691,5.753,2.6945,0.8938,-0.3006,-0.4253,-3.5345
